Card Name,List Name,Description,Labels,Members
Creation compte Ulule,Phase 1 - Preparation (Janvier),Semaine 1,Administratif,Leo
Definition des contreparties,Phase 1 - Preparation (Janvier),Semaine 1 - Paliers: 5€ a 500€,Strategie,"Charles, Lorraine"
Redaction texte de presentation,Phase 1 - Preparation (Janvier),Semaine 2 - Accroche + Qui sommes-nous + Le projet + Pourquoi + Repartition fonds,Contenu,Lorraine
Creation visuels campagne,Phase 1 - Preparation (Janvier),Semaine 2 - Image couverture 1200x675px + visuels contreparties,Design,Luther
Tournage video de presentation,Phase 1 - Preparation (Janvier),Semaine 3 - Video 2-3 min max,Video,Tous
Montage video,Phase 1 - Preparation (Janvier),Semaine 3,Video,A definir
Mise en page Ulule,Phase 1 - Preparation (Janvier),Semaine 4,"Administratif","Charles, Lorraine"
Relecture et validation,Phase 1 - Preparation (Janvier),Semaine 4,Validation,Tous
Constituer liste de contacts proches,Phase 2 - Pre-lancement (Fin Janvier),Cercles: Famille proche + elargie + amis + reseau artistes + Besancon,Contacts,Tous
Preparer emails personnalises,Phase 2 - Pre-lancement (Fin Janvier),Utiliser le modele type fourni,Communication,Lorraine
Preparer posts reseaux sociaux,Phase 2 - Pre-lancement (Fin Janvier),Instagram et Facebook,Communication,Luther
Briefer la famille elargie,Phase 2 - Pre-lancement (Fin Janvier),Potentiel estime: 500-1000€,Contacts,Clotilde
Contacter les premiers soutiens potentiels,Phase 2 - Pre-lancement (Fin Janvier),Objectif: 30% atteint rapidement pour effet boost,Contacts,Charles
Teaser reseaux sociaux,Phase 3 - Lancement (Fevrier),J-1 avant lancement,Communication,Luther
LANCEMENT OFFICIEL,Phase 3 - Lancement (Fevrier),J0 - Jour du lancement campagne Ulule,Milestone,Tous
Envoi emails aux proches,Phase 3 - Lancement (Fevrier),J0,Communication,Lorraine
Post Instagram/Facebook,Phase 3 - Lancement (Fevrier),J0,Communication,Luther
Partage dans les groupes WhatsApp famille,Phase 3 - Lancement (Fevrier),J0,Communication,Tous
Objectif 30% atteint (effet boost),Phase 4 - Pendant campagne (Fev-Mars),Semaine 1 - Premier palier psychologique,Milestone,Tous
Relances personnalisees,Phase 4 - Pendant campagne (Fev-Mars),Semaine 1,"Communication","Charles, Lorraine"
Post temoignage artiste,Phase 4 - Pendant campagne (Fev-Mars),Semaine 2,Contenu,Leopold
Story coulisses preparation,Phase 4 - Pendant campagne (Fev-Mars),Semaine 2,Contenu,Lorraine
Annonce palier intermediaire,Phase 4 - Pendant campagne (Fev-Mars),Semaine 3,Communication,Luther
Live Instagram Q&A,Phase 4 - Pendant campagne (Fev-Mars),Semaine 3,"Communication","Lorraine, Luther"
Derniere ligne droite - relance,Phase 4 - Pendant campagne (Fev-Mars),Semaine 4,Communication,Tous
Compte a rebours final,Phase 4 - Pendant campagne (Fev-Mars),Semaine 4,Communication,Luther
Remerciements contributeurs,Phase 5 - Cloture et suivi,Post-campagne,Communication,Lorraine
Envoi contreparties numeriques,Phase 5 - Cloture et suivi,Post-campagne,Logistique,Charles
Suivi des contreparties physiques,Phase 5 - Cloture et suivi,Ecocups + affiches + goodies,Logistique,Leo
Bilan de campagne,Phase 5 - Cloture et suivi,Analyse indicateurs: contributeurs + montant + partages + vues,Analyse,"Charles, Lorraine"
Preparer image de couverture,Elements Ulule a preparer,1200x675 px,Design,Luther
Preparer video de presentation,Elements Ulule a preparer,2-3 min max,Video,A definir
Preparer photos de l equipe,Elements Ulule a preparer,Pour page Ulule,Photo,Tous
Preparer photos du lieu,Elements Ulule a preparer,La Grange d Huguenet,Photo,A definir
Preparer visuels des contreparties,Elements Ulule a preparer,Pour chaque palier,Design,Luther
Preparer logo HD,Elements Ulule a preparer,Haute definition,Design,Luther
